,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59
289873,1409.01,0.00999999999999,1091.01,0.00999999999999,0.01,0.00999999999999,168.01,95.01,1469.01,0.01,0.01,0.01,41.01,3279.01,0.01,2291.01,200.01,0.00999999999999,526.01,0.01,1.01,3977.01,26.01,0.01,0.00999999999999,0.00999999999999,0.01,1004.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.01,289.01,0.00999999999999,0.01,56.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,16583.01,0.01,0.01,0.01,0.01,49.01,0.00999999999999,0.00999999999999,0.01,11964.01,3999.01,0.01
8585450,2453.01,0.01,12742.01,0.00999999999999,0.01,448.01,0.00999999999999,0.00999999999999,2291.01,0.00999999999999,0.01,0.01,0.01,2648.01,0.01,450.01,0.01,0.00999999999999,283.01,0.01,0.01,1811.01,0.00999999999999,0.01,0.01,0.01,0.01,966.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,384.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,0.01,3054.01,0.01,0.01,65.01,0.01,0.01,210.01,309.01,0.01,3495.01,5937.01,0.01
8604717,0.00999999999999,0.01,0.01,0.01,10041.01,0.0100000000002,0.0100000000002,0.01,0.01,0.0100000000002,0.00999999999999,1014.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,249.01,0.00999999999999,0.01,122228.01,0.01,306.01,0.01,1112.01,0.01,0.01,0.01,0.00999999999999,0.01,1075.01,310.01,543.01,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,832.01,0.01,0.01,0.01,227.01,686.01,2.01,1.01,0.01,0.0100000000002,0.0100000000002,25.01,1809.01,347.01,35.01,560.01,81.01,0.01,124.01,234.01,0.01,664.01,0.01
8586210,0.00999999999999,0.00999999999999,655.01,0.00999999999999,0.00999999999999,0.00999999999999,549.01,0.01,0.01,366.01,0.01,0.01,0.00999999999999,239.01,0.01,0.00999999999999,28.01,520.01,0.00999999999999,0.01,0.00999999999999,3702.01,0.01,0.01,0.01,0.01,0.00999999999999,299.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.01,48.01,0.01,0.01,0.00999999999999,0.01,137.01,0.01,0.01,3858.01,3870.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,336.01,0.01,0.01
6148917,0.00999999999999,0.00999999999999,0.00999999999999,95.01,2031.01,0.01,0.01,0.01,0.01,257.01,0.01,0.00999999999999,0.00999999999999,12981.01,0.01,0.00999999999999,303.01,0.01,0.01,0.01,0.00999999999999,999.01,0.01,1355.01,0.01,0.01,833.01,0.01,0.01,18346.01,0.00999999999999,21288.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,579.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,134.01,0.0100000000002,0.01,0.00999999999999,931.01,8823.01,0.00999999999999,40.01,4485.01,0.0100000000002,2397.01,0.01
2001176,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.01,34.01,0.01,0.01,0.01,0.00999999999999,43.01,0.01,0.00999999999999,10678.01,0.00999999999999,0.01,0.01,0.0100000000002,0.00999999999999,0.01,0.01,6.01,0.00999999999999,0.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,0.00999999999999,36.01,0.01,0.01,0.00999999999999,36.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,142.01,980.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,1.01,0.01,0.01
9549476,0.01,0.00999999999999,0.01,0.01,1961.01,0.00999999999999,0.01,36.01,0.01,0.01,0.01,193.01,0.01,381.01,0.01,0.01,118.01,83.01,0.00999999999999,2765.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,73.01,0.01,62.01,0.01,0.01,0.01,0.01,84.01,0.00999999999999,63.01,0.01,0.01,0.00999999999999,223.01,0.01,0.01,19.01,0.01,0.00999999999999,0.00999999999999,82.01,0.01,19.01,200.01,0.00999999999999,0.01,0.01,90.01,0.01,88.01,0.01
8409093,1609.01,1.01,1512.01,142.01,1246.01,206.01,0.00999999999999,1736.01,0.00999999999999,342.01,1.01,0.01,238.01,506.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.01,4948.01,422.01,0.01,0.01,528.01,16.01,2047.01,146.01,0.00999999999999,0.00999999999999,0.01,264.01,0.00999999999999,2375.01,0.01,5445.01,1662.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,262.01,0.00999999999999,0.01,0.01,2.01,0.01,165.01,14.01,1960.01,0.00999999999999,21.01,1378.01,5124.01,0.01
IA678,70.01,0.00999999999999,171.01,102.01,577.01,71.01,0.00999999999999,145.01,95.01,1094.01,0.01,0.01,0.00999999999999,4652.01,0.01,0.01,2771.01,0.01,90.01,0.01,0.00999999999999,1849.01,0.00999999999999,362.01,0.01,0.01,4501.01,0.00999999999999,0.00999999999999,389.01,39.01,126.01,0.01,18.01,0.00999999999999,0.01,0.01,3.01,0.00999999999999,78.01,0.01,34.01,0.00999999999999,0.00999999999999,338.01,0.01,0.00999999999999,0.01,1254.01,0.01,245.01,0.01,0.00999999999999,739.01,0.00999999999999,0.01,156.01,178.01,2406.01,0.00999999999999
7351771,2746.01,0.00999999999999,1239.01,73.01,0.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,301.01,579.01,3408.01,848.01,0.01,700.01,0.01,0.00999999999999,2070.01,453.01,0.01,0.00999999999999,235.01,0.01,2256.01,0.00999999999999,0.01,0.01,1.01,226.01,1.01,2588.01,0.01,0.00999999999999,445.01,0.01,0.01,0.01,0.01,0.01,123.01,0.01,0.01,0.01,0.01,1399.01,0.01,0.01,0.00999999999999,0.01,0.01,2136.01,52.01,0.01,586.01,3765.01,0.01
