,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79
8652063,0.01,0.01,0.01,0.01,0.01,0.01,355.01,0.00999999999999,5.01,1591.01,14.01,492.01,0.01,34.01,0.00999999999999,0.01,632.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,28.01,0.01,307.01,33.01,0.00999999999999,0.01,171.01,421.01,0.00999999999999,803.01,0.01,0.00999999999999,0.00999999999999,0.01,1685.01,0.00999999999999,0.01,0.00999999999999,1265.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.00999999999999,0.01,0.01,0.00999999999999,11.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,656.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,340.01,0.00999999999999,505.01,0.01,0.01,0.01
8223542,0.01,0.01,178.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,233.01,0.00999999999999,0.01,0.01,0.00999999999999,510.01,0.01,3792.01,287.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,202.01,0.00999999999999,0.01,182.01,3.01,0.00999999999999,130.01,361.01,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,209.01,71.01,0.00999999999999,0.01,25.01,1377.01,1614.01,0.01,0.01,379.01,0.01,3614.01,0.00999999999999,0.01,0.00999999999999,0.01,492.01,91.01,523.01,1.01,3432.01,6374.01,716.01,635.01,0.01,5378.01,0.00999999999999,89.01,1402.01,426.01,0.01,530.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,498.01,205.01,1948.01,0.01,0.01,0.01,165.01
8643638,0.01,0.00999999999999,743.01,0.01,0.00999999999999,0.01,0.01,78.01,0.01,469.01,0.01,259.01,0.00999999999999,143.01,3002.01,0.01,532.01,7.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,398.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,0.01,516.01,0.01,0.01,6567.01,0.01,0.00999999999999,15900.01,0.0100000000002,0.00999999999999,1043.01,0.01,0.01,0.00999999999999,0.01,2.01,1971.01,116.01,1095.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,498.01,1056.01,1391.01,238.01,0.00999999999999,478.01,0.00999999999999,0.01,6225.01,0.01,0.01,1786.01,0.01,150.01,0.01,0.01,0.01,0.00999999999999,424.01,0.01,1370.01,0.01,0.01,325.01
1022317,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.01,167.01,0.01,0.01,0.01,0.01,195.01,0.01,0.01,96.01,0.01,0.01,0.01,109.01,0.01,539.01,0.01,0.01,0.00999999999999,0.01,0.01,2.01,2890.01,0.00999999999999,0.01,25.01,0.00999999999999,0.01,245.01,0.00999999999999,0.00999999999999,2070.01,0.01,0.01,5565.01,0.01,519.01,0.01,0.01,3022.01,0.01,0.01,0.0100000000002,0.00999999999999,780.01,0.01,306.01,0.01,39.01,429.01,1809.01,0.01,0.01,697.01,3388.01,0.01,1403.01,892.01,0.01,5266.01,0.01,137.01,0.01,0.01,0.01,0.01,185.01,566.01,277.01,0.01,0.01,68.01
9017670,0.01,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,38.01,29.01,3320.01,0.01,127.01,117.01,983.01,573.01,0.00999999999999,5393.01,5129.01,0.01,0.00999999999999,79.01,0.01,245.01,55.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,4912.01,1421.01,0.01,1405.01,16939.01,0.00999999999999,0.00999999999999,4603.01,0.0100000000002,139.01,616.01,1555.01,0.01,0.00999999999999,0.01,294.01,0.01,206.01,6593.01,501.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,1574.01,174.01,2332.01,0.01,0.01,389.01,0.00999999999999,0.01,1678.01,816.01,0.01,0.01,1.01,3081.01,0.01,0.01,0.00999999999999,0.0100000000002,841.01,5381.01,662.01,0.01,0.01,0.00999999999999
1998595,0.01,0.00999999999999,0.01,299.01,0.00999999999999,0.01,0.00999999999999,0.01,25511.01,354.01,0.01,996.01,0.01,0.01,1518.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,2082.01,2062.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,1076.01,739.01,1310.01,0.01,0.01,4273.01,0.0100000000002,1498.01,0.0100000000002,0.00999999999999,9216.01,62.01,0.01,0.01,0.00999999999999,667.01,0.00999999999999,0.00999999999999,1610.01,9.01,0.00999999999999,0.00999999999999,2696.01,0.01,15029.01,0.00999999999999,0.01,0.00999999999999,0.01,257.01,0.00999999999999,144.01,0.01,0.00999999999999,0.01,515.01,1126.01,0.00999999999999,7062.01,0.01,0.01,110.01,73.01,0.01,59.01,3976.01,1102.01,0.00999999999999,0.0100000000002,156.01,0.01
9710008,0.01,102.01,516.01,0.01,250.01,160.01,0.01,169.01,0.01,1073.01,0.00999999999999,11.01,0.01,192.01,3613.01,0.01,26150.01,6739.01,0.00999999999999,2.01,0.00999999999999,0.01,0.01,7018.01,0.00999999999999,0.01,0.00999999999999,1.01,0.00999999999999,1331.01,0.01,6329.01,698.01,2104.01,0.01,0.01,2796.01,5.01,1535.01,6644.01,443.01,0.01,0.0100000000002,0.01,0.00999999999999,0.0100000000002,0.00999999999999,29186.01,0.00999999999999,0.00999999999999,348.01,0.01,0.0100000000002,0.01,1265.01,160.01,9458.01,147363.01,85.01,0.01,0.0100000000002,57474.01,0.01,0.0100000000002,1962.01,3200.01,0.01,0.010000000002,0.01,13881.01,0.01,207.01,0.01,0.00999999999999,12569.01,76900.01,0.01,0.01,24.01,0.01
8613676,0.01,0.01,0.00999999999999,0.01,0.01,34.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,11688.01,0.0100000000002,0.01,0.01,0.00999999999999,0.01,0.01,11599.01,0.01,0.01,766.01,0.01,0.01,579.01,1534.01,41.01,0.01,0.00999999999999,0.00999999999999,0.01,1940.01,1570.01,208.01,567.01,0.00999999999999,3.01,0.01,0.01,0.0100000000002,0.00999999999999,0.01,18654.01,0.00999999999999,16.01,1310.01,0.01,0.0100000000002,0.00999999999999,1669.01,134.01,7017.01,17929.01,159.01,0.01,21.01,11291.01,0.01,0.01,269.01,0.0100000000002,3.01,1050.01,0.01,2275.01,0.01,0.01,0.00999999999999,66.01,2044.01,55156.01,0.00999999999999,0.01,0.01,0.00999999999999
6251427,0.01,24.01,0.01,0.01,0.00999999999999,208.01,964.01,0.01,0.00999999999999,90.01,45.01,4209.01,0.00999999999999,148.01,2294.01,0.00999999999999,2304.01,243.01,0.01,0.00999999999999,53.01,0.00999999999999,0.01,0.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.0100000000002,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.01,1799.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,971.01,804.01,0.00999999999999,0.00999999999999,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.00999999999999,0.01,0.01,126.01,0.00999999999999,268.01,0.00999999999999,0.00999999999999,451.01,106.01,21.01,0.01,731.01,0.01,13378.01,0.01,0.01,0.00999999999999,0.01,0.01,1.01,0.01,1462.01,0.00999999999999,1561.01,0.01,0.01,0.00999999999999
8631191,15.01,0.00999999999999,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,1450.01,1829.01,0.01,203.01,0.01,0.0100000000002,1753.01,47.01,296.01,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.01,0.01,0.01,0.00999999999999,694.01,0.00999999999999,0.01,0.01,0.01,0.00999999999999,0.00999999999999,0.00999999999999,0.0100000000002,0.01,205.01,0.01,33.01,0.00999999999999,3822.01,0.00999999999999,0.00999999999999,6736.01,78.01,0.00999999999999,60.01,0.00999999999999,0.00999999999999,1.01,0.00999999999999,0.01,0.01,1.01,0.01,1413.01,28.01,0.01,0.01,0.00999999999999,0.01,656.01,206.01,15.01,799.01,233.01,0.01,0.00999999999999,0.01,1.01,0.01,276.01,0.00999999999999,0.00999999999999,1745.01,0.01,2033.01
8642519,0.01,0.01,0.01,0.01,0.01,0.01,0.00999999999999,0.01,0.01,1290.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,0.01,0.00999999999999,0.01,9.01,0.01,0.01,0.0100000000002,0.01,0.01,0.01,0.00999999999999,0.01,0.00999999999999,299.01,906.01,1123.01,0.00999999999999,0.01,143.01,0.01,149.01,0.01,0.00999999999999,797.01,0.01,0.00999999999999,41.01,0.00999999999999,0.00999999999999,0.00999999999999,0.01,1982.01,0.01,0.00999999999999,0.01,7121.01,0.00999999999999,100.01,0.00999999999999,0.01,494.01,0.00999999999999,529.01,0.01,0.00999999999999,0.01,0.01,1.01,0.00999999999999,384.01,0.01,6085.01,0.01,0.00999999999999,0.00999999999999,7747.01,0.00999999999999,0.00999999999999,1905.01,532.01,0.00999999999999,0.01,4572.01,0.01
